review_text,sentiment
"The phone case arrived on time, packaging was standard.",neutral
"I absolutely love this handbag, will buy again!",positive
"The jacket matches the description, quality seems moderate.",neutral
"Great wallet for the price, very comfortable and well made.",positive
"The handbag is decent for the price, would consider alternatives.",neutral
The sneakers quality is poor and not as described.,negative
Highly recommend this jacket to anyone looking for quality.,positive
The headphones arrived damaged and customer service was unhelpful.,negative
"The scarf matches the description, quality seems moderate.",neutral
"The headphones is okay, nothing special but does the job.",neutral
"Not bad, not great -- the wallet is exactly as described.",neutral
"Great sunglasses for the price, very comfortable and well made.",positive
"The sunglasses is amazing, exactly what I needed.",positive
"Best phone case I've purchased online this year, five stars.",positive
The handbag size runs way too small and returns are a hassle.,negative
The watch size runs way too small and returns are a hassle.,negative
"This headphones stopped working after two days, do not recommend.",negative
The sneakers size runs way too small and returns are a hassle.,negative
"Worst wallet I have ever bought, requesting a refund immediately.",negative
Excellent customer service and the sweater arrived earlier than expected.,positive
"The dress is amazing, exactly what I needed.",positive
Highly recommend this handbag to anyone looking for quality.,positive
"The phone case looks nothing like the pictures, very misleading.",negative
"Received the shoes as ordered, no issues so far.",neutral
"Very disappointed with this phone case, it broke within a week.",negative
Shipping took forever and the watch was the wrong color.,negative
"The jacket is okay, nothing special but does the job.",neutral
Fast shipping and the wallet quality exceeded my expectations.,positive
"I regret buying this wallet, complete waste of money.",negative
"The jacket is amazing, exactly what I needed.",positive
"The sweater is durable, stylish, and worth every penny.",positive
Fast shipping and the handbag quality exceeded my expectations.,positive
"The blender looks nothing like the pictures, very misleading.",negative
The backpack arrived damaged and customer service was unhelpful.,negative
Shipping took forever and the shoes was the wrong color.,negative
Excellent customer service and the phone case arrived earlier than expected.,positive
"Best dress I've purchased online this year, five stars.",positive
"This scarf stopped working after two days, do not recommend.",negative
"It's an average sweater, works fine for basic use.",neutral
"Super happy with my sunglasses purchase, no complaints at all.",positive
The scarf quality is poor and not as described.,negative
"It works as expected, the watch does what it says.",neutral
"Not bad, not great -- the handbag is exactly as described.",neutral
"Very disappointed with this dress, it broke within a week.",negative
This headphones fits perfectly and looks even better in person.,positive
"I absolutely love this wallet, will buy again!",positive
This dress fits perfectly and looks even better in person.,positive
"Received the watch as ordered, no issues so far.",neutral
"It's an average sunglasses, works fine for basic use.",neutral
"The scarf looks nothing like the pictures, very misleading.",negative
"The scarf is okay, nothing special but does the job.",neutral
"The sunglasses is decent for the price, would consider alternatives.",neutral
"The blender arrived on time, packaging was standard.",neutral
"Not bad, not great -- the jacket is exactly as described.",neutral
"The dress is decent for the price, would consider alternatives.",neutral
"The handbag matches the description, quality seems moderate.",neutral
Shipping took forever and the dress was the wrong color.,negative
The shoes quality is poor and not as described.,negative
"Worst backpack I have ever bought, requesting a refund immediately.",negative
Excellent customer service and the jacket arrived earlier than expected.,positive
"It's an average watch, works fine for basic use.",neutral
This shoes fits perfectly and looks even better in person.,positive
"The handbag is durable, stylish, and worth every penny.",positive
"I regret buying this headphones, complete waste of money.",negative
Fast shipping and the watch quality exceeded my expectations.,positive
"Super happy with my sweater purchase, no complaints at all.",positive
"I absolutely love this sneakers, will buy again!",positive
"I regret buying this blender, complete waste of money.",negative
"Super happy with my wallet purchase, no complaints at all.",positive
"Received the jacket as ordered, no issues so far.",neutral
"This jacket stopped working after two days, do not recommend.",negative
"Worst sweater I have ever bought, requesting a refund immediately.",negative
"It works as expected, the backpack does what it says.",neutral
The handbag arrived damaged and customer service was unhelpful.,negative
"The scarf arrived on time, packaging was standard.",neutral
"Best sweater I've purchased online this year, five stars.",positive
"Great jacket for the price, very comfortable and well made.",positive
"Very disappointed with this watch, it broke within a week.",negative
"The wallet is durable, stylish, and worth every penny.",positive
"Terrible experience, the shoes was defective on arrival.",negative
"Terrible experience, the jacket was defective on arrival.",negative
Highly recommend this shoes to anyone looking for quality.,positive
"Terrible experience, the blender was defective on arrival.",negative
"It works as expected, the headphones does what it says.",neutral
